period,number,color,date_folder
20250420100051754,8,red,20-04-2025
20250420100051753,4,red,20-04-2025
20250420100051752,1,green,20-04-2025
20250420100051751,9,green,20-04-2025
20250420100051750,6,red,20-04-2025
20250420100051749,0,red / violet,20-04-2025
20250420100051748,7,green,20-04-2025
20250420100051747,8,red,20-04-2025
20250420100051746,9,green,20-04-2025
20250420100051745,7,green,20-04-2025
20250420100051744,3,green,20-04-2025
20250420100051743,0,red / violet,20-04-2025
20250420100051742,9,green,20-04-2025
20250420100051741,8,red,20-04-2025
20250420100051740,3,green,20-04-2025
20250420100051739,1,green,20-04-2025
20250420100051738,4,red,20-04-2025
20250420100051737,1,green,20-04-2025
20250420100051736,8,red,20-04-2025
20250420100051735,2,red,20-04-2025
20250420100051734,3,green,20-04-2025
20250420100051733,6,red,20-04-2025
20250420100051732,8,red,20-04-2025
20250420100051731,8,red,20-04-2025
20250420100051730,5,green / violet,20-04-2025
20250420100051729,5,green / violet,20-04-2025
20250420100051728,1,green,20-04-2025
20250420100051727,7,green,20-04-2025
20250420100051726,8,red,20-04-2025
20250420100051725,3,green,20-04-2025
20250420100051724,4,red,20-04-2025
20250420100051723,0,red / violet,20-04-2025
20250420100051722,2,red,20-04-2025
20250420100051721,7,green,20-04-2025
20250420100051720,7,green,20-04-2025
20250420100051719,1,green,20-04-2025
20250420100051718,3,green,20-04-2025
20250420100051717,1,green,20-04-2025
20250420100051716,2,red,20-04-2025
20250420100051715,2,red,20-04-2025
20250420100051714,1,green,20-04-2025
20250420100051713,8,red,20-04-2025
20250420100051712,7,green,20-04-2025
20250420100051711,0,red / violet,20-04-2025
20250420100051710,9,green,20-04-2025
20250420100051709,1,green,20-04-2025
20250420100051708,1,green,20-04-2025
20250420100051707,2,red,20-04-2025
20250420100051706,7,green,20-04-2025
20250420100051705,6,red,20-04-2025
20250420100051704,6,red,20-04-2025
20250420100051703,2,red,20-04-2025
20250420100051702,7,green,20-04-2025
20250420100051701,9,green,20-04-2025
20250420100051700,6,red,20-04-2025
20250420100051699,5,green / violet,20-04-2025
20250420100051698,3,green,20-04-2025
20250420100051697,0,red / violet,20-04-2025
20250420100051696,4,red,20-04-2025
20250420100051695,0,red / violet,20-04-2025
20250420100051694,5,green / violet,20-04-2025
20250420100051693,5,green / violet,20-04-2025
